company,enterprise_number
EXLSERVICE SOUTH AFRICA,South Africa > K2013083288
INDEPENDENT WEALTH MANAGERS,South Africa > M2003023709
ASSA ABLOY (SA),South Africa > M1971008368
RECKITT BENCKISER SOUTH AFRICA,South Africa > M1970014554
TRENCOR,South Africa > M1955002869
OMHLABA ENTERPRISE,South Africa > K2018348147
FXNOVUS,South Africa > K2020183344
HEIDELBERG GRAPHIC SYSTEMS SOUTHERN AFRICA,South Africa > M1963003225
WESTERN PLATINUM,South Africa > M1963003589
KARCHER,South Africa > M1984002279
CORE WEALTH MANAGERS,South Africa > K2016012495
FENESTRA ASSET MANAGEMENT,South Africa > M1992003834
VALUE PORTFOLIO MANAGERS,South Africa > M1970001228
BESTER VOER EN GRAAN,South Africa > M1999001317
OLD MUTUAL,South Africa > K2017235138
RMB MORGAN STANLEY,South Africa > M1995011585
PROGRESSIVE WEALTH,South Africa > M2001009075
NIGHT FIRE INVESTMENTS 101,South Africa > M2002020231
BLUE AND RED SOLUTIONS,South Africa > K2019390780
SGS BATEMAN,South Africa > M1980003077
FAURECIA INTERIOR SYSTEMS PRETORIA,South Africa > M2000008964
SYSTEMS APPLICATIONS PRODUCTS (SOUTH AFRICA),South Africa > M1999020470
WEIR MINERALS SHARED SERVICES,South Africa > K2019279703
WHITECORE TRADING,South Africa > K2017515988
JAZZ SPIRIT 1422,South Africa > B2011037004
CA CREATIVE GROUP,South Africa > K2017297471
DEFY APPLIANCES,South Africa > M2007006715
MOOIRIVIER GRAIN,South Africa > M2005031622
TENNEXED CAPITAL,South Africa > K2022414421
STARS IN A VASE HOLDINGS,South Africa > K2022381372
SAFFRON FUNDS,South Africa > K2018620191
F THEBA AND CO,South Africa > K2019112310
SCH CONSULTING,South Africa > K2021585570
UNENDLICHKEIT TRADING,South Africa > K2021347903
JOHNSON MATTHEY,South Africa > M1991001220
DELTA FOREX ACADEMY,South Africa > K2022396904
DANONE SOUTHERN AFRICA,South Africa > M1996000869
CITADEL INVESTMENT SERVICES,South Africa > M1996006847
ANDREAS STIHL,South Africa > M1996010571
METAL CONCENTRATORS SA,South Africa > M2007035881
VAN ZYL DISTRIBUTORS AND TRADERS,South Africa > K2020151794
BAYWATER ADVISORY SERVICES,South Africa > K2020541688
CLOUD ATLAS (RF),South Africa > K2013078096
PERFECT STORM SYSTEMS,South Africa > K2023731517
BM6 SECURITIES,South Africa > K2014026068
SUPER GROUP,South Africa > M1943016107
MARRIOTT ASSET MANAGEMENT,South Africa > M1987003316
ADMIRALS SA,South Africa > K2019620981
